name,sites
5620: Introduction to Computer Graphics,"[{'Fall 19': 'http://www.cs.cornell.edu/courses/CS5620/2019fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/5620', 'Fall 20': 'http://www.cs.cornell.edu/courses/CS5620/2020fa/', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS5620/2021fa/'}]"
5621: Computer Graphics Practicum,"[{'Fall 19': 'http://www.cs.cornell.edu/courses/CS5621/2019fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/5621', 'Fall 20': 'http://www.cs.cornell.edu/courses/CS5621/2020fa/'}]"
5625: Interactive Computer Graphics,"[{'Spring 20': 'http://www.cs.cornell.edu/courses/CS5625/2020sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5625'}]"
5650: Virtual and Augmented Reality,[{' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/5650'}]
5660: Signal Processing,[{' CR': 'https://classes.cornell.edu/browse/roster/FA16/class/CS/5660'}]
5670: Introduction to Computer Vision,"[{'Spring 21': 'http://www.cs.cornell.edu/courses/CS5670/2021sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5670'}]"
5678: Topics in Mixed Reality,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5678'}]
5682: HCI and Design,"[{'Fall 19': 'http://www.cs.cornell.edu/courses/CS5682/2019fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/5682', 'Fall 20': 'http://www.cs.cornell.edu/courses/CS5682/2020fa/', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS5682/2021fa/'}]"
5700: Foundations of Artificial Intelligence,"[{'Fall 21': 'http://www.cs.cornell.edu/courses/CS5700/2021fa/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5700'}]"
5701: Practicum in Artificial Intelligence,[{' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/5701'}]
5726: Inference and Decision Making,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5726'}]
5727: Optimization Methods,[{' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/5727'}]
5740: Natural Language Processing,"[{'Spring 21': 'http://www.cs.cornell.edu/courses/CS5740/2021sp/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/5740'}]"
